band_gap,formation_energy_per_atom,full_formula,task_id
0.0,-1.1112381283333335,Pr2Sb2Pt2,mp-1018902
0.0,-0.3101353428571433,Zn1As1Pt5,mp-1025356
0.0,-0.7014797438771428,Sr6Ru2N6,mp-1029750
6.0792,-4.3191844433925,Sc1F3,mp-10694
0.0,-0.5884989869999998,Tb2Ni2Sn1,mp-1068217
0.0,-0.5360792397321431,Tl2Pd3S2,mp-1077950
0.0,-0.6368973125000004,Ce2Co2Sb4,mp-1079392
0.0,-0.9128769734999999,Nd2Ge4Pt4,mp-1079773
4.3167,-2.2378777568425003,Sr2H2Br2O2,mp-1080045
0.0,-0.7494081470000005,Ho4Co2Ge4,mp-1080818
0.9609999999999999,-0.4237707565000002,K4Bi2Au2,mp-1084770
0.0,-0.8846746936666662,Eu4In2Pt4,mp-1095035
3.0084999999999997,-1.448029514241379,Cs2Li1Y1I6,mp-1112663
0.0,-0.28603455458333293,Gd1Cd1Ag2,mp-1184477
0.0,-0.27608288083333354,Li2In1Pb1,mp-1184985
0.0,-0.4824284997916668,Pr1Nd1In2,mp-1186832
0.0,-0.4609021716666666,Tb1Dy1In2,mp-1187334
0.0,-2.444054729204547,Nd4Ir4O14,mp-1190299
3.5958,-2.5299997426615333,Cs1K2Fe3P4Cl1O14,mp-1190639
4.1911000000000005,-1.6744660588858755,Cs1Mg1As1H12O10,mp-1193046
0.15520000000000023,-0.5293422079999994,Er8Zn10Ge12,mp-1192836
0.0,-0.24359989300000015,Ta20Al10,mp-1193531
3.3002000000000002,-2.095919403072631,K4Pb6C6O18F4,mp-1194624
2.4403000000000006,-1.1748522254748373,Pr4Tl4P8S28,mp-1194930
7.0171,-2.3654482499194827,Cs8H16F24,mp-1196282
0.0,-0.10663336642156865,Gd8Fe56B4,mp-1198327
3.9185,-1.4495312266723832,Cs4Cr4H96Se8O80,mp-1202355
5.1967,-1.3007293552382613,Ca2H16Cl4O24,mp-1204240
0.0,-0.7445301260985218,Cs1P2Rh2,mp-1206405
5.6651,-3.3461672083925,Zr1Ni1F6,mp-1206530
3.0223,-2.993794823772807,Rb2Mn1F4,mp-1206523
0.0,-0.818480876000001,Si2Rh3,mp-1207013
0.0,-0.730229956926108,Rb1P2Rh2,mp-1207113
0.0,-0.8346261808333332,Tb8Hf12Si16,mp-1208581
4.1194999999999995,-2.957817831193182,Sr6Li12Ta4O22,mp-1208758
2.5142,-2.833244092343749,Sm4Cr4Ge4O20,mp-1208812
3.4707,-3.115681918444616,Sm6W2Cl6O12,mp-1208868
0.3033999999999999,-0.56916773875,Nd6Cu6Bi8,mp-1210067
0.0,-0.7066039161111106,Tb12Ge36Rh60,mp-1211078
4.4611,-0.966490474851428,H48Pb4N12Cl20,mp-1212614
5.0904,-2.993832526299019,Ba8B20Br4O36,mp-1214841
0.0,-0.9498823672857146,Yb6P19Rh30,mp-1215876
3.8877,-1.9348574828620684,Cs12La4Br24,mp-1213905
2.3428,-2.048983010267242,Rb2V6Cd8O24,mp-1219122
3.3653,-1.4942010695305352,Na2H2Se2O8,mp-1220802
2.2089,-2.1065402194062504,Na1Pr1S2,mp-1220912
0.0,-0.10016682937500043,Mo1W1C2,mp-1221393
0.28669999999999995,-0.4407145241379311,K60Ga18Sb38,mp-1225850
0.0,-0.6765908792857138,Ce2Cd1Sb4,mp-1226843
0.03469999999999995,-0.23654400714285728,Li5Tl2,mp-12283
5.0608,-3.404055063934219,Ba10P6O24F2,mp-1228113
0.0,-1.4575677812068977,Ba1V12S16,mp-1228781
0.0,-0.8850529976666671,Lu4In2Pd4,mp-12691
0.0,-0.5291981112499999,Yb2Al4Ni2,mp-12782
0.8279999999999994,-1.2226967761718752,Tb4Cu4Se8,mp-12984
0.0,-0.38779828079545486,Rh3Se8,mp-1407
0.0,-0.29250879624999965,Y2C1,mp-1334
0.0,-1.9643016310714276,Nd2Pd4O8,mp-15051
1.1277999999999997,-0.3786800634635412,Tl4Ge2Se6,mp-14242
0.0016999999999995907,-0.9477807492857134,Y6Si6Rh2,mp-16225
2.1491000000000002,-3.2533821941666665,Ho8Mo4O24,mp-16811
1.575,-1.325183437777094,Rb8Mo4S16,mp-18612
2.7796,-1.2257273867000003,K2Ni1O2,mp-19252
0.0,-0.5274316754999994,Nd2Ni4Sn4,mp-20000
2.5747,-2.557678062159091,Tm4Fe4Ge8O28,mp-19483
0.010099999999999998,-1.9381818946425007,Ni1Rh1F6,mp-20580
0.0,-0.3234858437499999,Sm1Zn1,mp-2165
0.0,-0.4582569914999993,La1Mn2Ge2,mp-22760
0.021600000000000286,-0.8453593850000006,Gd1Al3Pd2,mp-22505
1.5625,-1.2989726820501788,As2Se12I2F12,mp-23569
2.458,-0.34095462677199995,K1Mg1H3,mp-23737
5.562900000000001,-2.6456437845540615,Nd4H4S4O20,mp-23831
0.7411999999999999,-0.9699450788400004,Ni1Cl2,mp-27396
0.0,-0.8913164678888887,K2Os1Br6,mp-27835
3.1923999999999997,-0.4116558167500003,Hg4Br4O12,mp-27994
4.5144,-3.5909403565262745,Ba6In4F24,mp-28274
1.6964000000000001,-0.7714126813052778,Pd2Se4Cl12,mp-28175
2.7811,-2.0433364146875,Dy2S2I2,mp-28929
3.7051,-1.837771469189091,Al4Cd2Cl16,mp-28361
0.0,-0.5524809300000009,Dy1Si2Au2,mp-2954
5.4318,-2.7607952571875,Nd4S6O24,mp-29265
