band_gap,formation_energy_per_atom,full_formula,task_id
6.0792,-4.3191844433925,Sc1F3,mp-10694
4.3167,-2.2378777568425003,Sr2H2Br2O2,mp-1080045
0.961,-0.4237707565000002,K4Bi2Au2,mp-1084770
3.0085,-1.4480295142413793,Cs2Li1Y1I6,mp-1112663
3.5958,-2.5299997426615333,Cs1K2Fe3P4Cl1O14,mp-1190639
4.1911000000000005,-1.6744660588858755,Cs1Mg1As1H12O10,mp-1193046
0.15520000000000025,-0.5293422079999994,Er8Zn10Ge12,mp-1192836
3.3002,-2.0959194030726307,K4Pb6C6O18F4,mp-1194624
2.4403000000000006,-1.1748522254748373,Pr4Tl4P8S28,mp-1194930
7.0171,-2.3654482499194827,Cs8H16F24,mp-1196282
3.9185,-1.4495312266723832,Cs4Cr4H96Se8O80,mp-1202355
5.1967,-1.3007293552382613,Ca2H16Cl4O24,mp-1204240
5.6651,-3.3461672083925005,Zr1Ni1F6,mp-1206530
3.0223,-2.9937948237728067,Rb2Mn1F4,mp-1206523
4.1195,-2.9578178311931818,Sr6Li12Ta4O22,mp-1208758
2.5142,-2.8332440923437487,Sm4Cr4Ge4O20,mp-1208812
3.4707,-3.1156819184446163,Sm6W2Cl6O12,mp-1208868
0.3033999999999999,-0.56916773875,Nd6Cu6Bi8,mp-1210067
4.4611,-0.966490474851428,H48Pb4N12Cl20,mp-1212614
5.0904,-2.9938325262990184,Ba8B20Br4O36,mp-1214841
3.8877,-1.9348574828620684,Cs12La4Br24,mp-1213905
2.3428,-2.048983010267242,Rb2V6Cd8O24,mp-1219122
3.3653,-1.4942010695305352,Na2H2Se2O8,mp-1220802
2.2089,-2.1065402194062504,Na1Pr1S2,mp-1220912
0.28669999999999995,-0.4407145241379311,K60Ga18Sb38,mp-1225850
0.03469999999999995,-0.2365440071428573,Li5Tl2,mp-12283
5.0608,-3.404055063934219,Ba10P6O24F2,mp-1228113
0.8279999999999994,-1.2226967761718752,Tb4Cu4Se8,mp-12984
1.1277999999999997,-0.3786800634635412,Tl4Ge2Se6,mp-14242
0.0016999999999995907,-0.9477807492857134,Y6Si6Rh2,mp-16225
2.1491,-3.2533821941666665,Ho8Mo4O24,mp-16811
1.575,-1.325183437777094,Rb8Mo4S16,mp-18612
2.7796,-1.2257273867000005,K2Ni1O2,mp-19252
2.5747,-2.557678062159091,Tm4Fe4Ge8O28,mp-19483
0.010099999999999998,-1.938181894642501,Ni1Rh1F6,mp-20580
0.02160000000000029,-0.8453593850000006,Gd1Al3Pd2,mp-22505
1.5625,-1.2989726820501788,As2Se12I2F12,mp-23569
2.458,-0.34095462677199995,K1Mg1H3,mp-23737
5.562900000000001,-2.645643784554061,Nd4H4S4O20,mp-23831
0.7411999999999999,-0.9699450788400004,Ni1Cl2,mp-27396
3.1924,-0.4116558167500003,Hg4Br4O12,mp-27994
4.5144,-3.5909403565262745,Ba6In4F24,mp-28274
1.6964,-0.7714126813052778,Pd2Se4Cl12,mp-28175
2.7811,-2.0433364146875,Dy2S2I2,mp-28929
3.7051,-1.8377714691890907,Al4Cd2Cl16,mp-28361
5.4318,-2.7607952571875,Nd4S6O24,mp-29265
6.7147,-3.4068835360639995,Na6Al2F12,mp-3416
3.4987000000000004,-3.3880553055833347,Mg2Ti2O6,mp-3771
1.1768,-2.058167417321429,Tm4Cd2S8,mp-4324
0.4668000000000001,-1.1097771955555558,Ag4C2O6,mp-4691
1.4987,-1.6084995199674337,Cs4Na12Pb4O16,mp-505396
1.9705,-1.6965169934027782,Li24Pt12O36,mp-531826
1.945,-0.4712913670312506,As16S16,mp-542810
3.6557,-1.5329036995934775,Li8Pr4N20O60,mp-555979
2.8394000000000004,-3.0168513559599983,K2Mn1F4,mp-557610
2.4831000000000003,-1.8437312111305555,K24Ti8S24O4,mp-558062
1.7396,-1.7772810677187494,Na2Au2S4O16,mp-561190
0.7305000000000001,-1.6673286631896558,Cs2Te4O12,mp-561786
1.6302,-0.4080484846301025,Cu18P24S24I18,mp-565597
3.454,-2.3402913534967156,Cs6Na2Li4B4O12,mp-607931
2.4608,-1.1207972017075,Cl8F24,mp-619575
3.6774,-2.1277906017303767,Rb8Cd8S12O48,mp-6623
1.9874,-0.7239536266646667,H32W4S16N8,mp-697283
2.3008,-1.7334436756944445,Re2Ag2O8,mp-7094
3.4282000000000004,-3.815870704886364,Sm6Ta2O14,mp-752686
2.6578,-3.0652279058514296,Mn2Al4O8,mp-755882
3.8853,-3.7829218099999986,Sr2Zr7O16,mp-770419
4.8322,-2.7892234329684213,Ca4Sb8H8F56,mp-780667
7.0881,-2.9417771163488093,P2F10,mp-8511
0.8987999999999996,-0.37630289513888826,Li2B2C2,mp-9244
2.3664999999999994,-2.172589535867458,Rb1Er1S2,mp-9367
0.17039999999999988,-0.6881150861111109,Er4Cr4B16,mp-985700
7.0089000000000015,-3.0613495617228565,Na1P1F6,mp-10474
1.9348,-2.438559405575398,Nb10Pb14O39,mp-1101724
1.4656000000000002,-0.2457440726785709,Zn8P16,mp-11025
0.3729,-1.2196149027083334,Co6Ag9Sb3O18,mp-1181748
0.3621999999999996,-0.014667739866666429,Ba1Mg149,mp-1184337
2.0326000000000004,-2.71978474075,Ca4Cr2Sb2O12,mp-1189906
2.2949000000000006,-1.5762054405649988,Sm6B6N12,mp-1192040
2.8937000000000004,-2.8585220288137254,Na4Y4B4Te2O20,mp-1194587
0.4383999999999999,-2.4506731388825465,Na12Mn3S6O24F8,mp-1194939
2.5923,-2.3794784137719303,Ca30I12O72,mp-1196062
2.3055,-0.4804692091027145,Cu4As48P16S48Cl4,mp-1197298
1.7598,-0.8527178398599999,Sb8N8Cl64O8,mp-1197652
2.5225,-2.0269561874601894,Rb4Mo6Se2O24,mp-1198721
1.1391,-1.057145675111111,K2Tc1Br6,mp-1206472
2.5202,-0.3900600539999999,Te8Br32,mp-1208424
5.5128,-2.7627937654227948,Sm4S6O24,mp-1208980
4.3342,-2.4222444814635717,Rb2Y2Se2Cl4O6,mp-1209082
4.3862,-4.2426754008746315,Rb2Gd6F20,mp-1209289
1.1124,-2.3094094013488893,Pd2Pb4F12,mp-1209528
4.2104,-1.6928896023500002,Na6Er2Br12,mp-1210529
4.3632,-2.660586647191483,Rb8Pr16Cl56,mp-1209859
1.3301000000000005,-2.1379199728280947,Hf12C2Cl28,mp-1212485
1.0113,-0.9519686993769164,Hf4Te28Se4Cl24,mp-1212434
2.0776,-0.8013544771282332,Cs16Re24Se32I24,mp-1214500
1.198,-2.59091283359864,Na1Mo2P4O14,mp-1220983
3.0522,-2.482213724416667,K2Mg1Zr1Mo4O16,mp-1223759
4.694299999999999,-2.8256377917863227,Cs4Si8H4O20,mp-1226125
2.5344,-2.5239343242708348,Ca2Ga8O14,mp-17914
2.2869,-1.2341990528566658,Sr8Nb4N12,mp-17701
3.8015,-2.144514914675,Na8W2O10,mp-19334
0.0019000000000000128,-0.8092380579999997,Gd1Ge2Pd2,mp-22181
2.1356,-1.5094390621428582,Ni4Ge2O8,mp-22638
4.3052,-2.73397926932,Nd2Cl6,mp-23183
2.9045,-1.6635225728108536,Rb4Co2H16C4O20,mp-24624
5.4068,-1.5762284319493265,Mg3P4H48N2O30,mp-24303
2.8128000000000006,-2.0960980375347225,Ba12Si4S20,mp-27805
1.6129000000000002,-0.7549913416302084,Na8Ge4Se12,mp-28278
5.476800000000001,-1.2041768681008047,Rb4Cl4O16,mp-28433
3.1228,-1.6717271051833331,Na4Te8O18,mp-28904
5.7206,-1.6209870387292498,H16S4O20,mp-29095
0.5184000000000006,-0.4103751548809515,Si6P4Pt2,mp-29157
3.3405,-1.884870116947143,Te4O6F4,mp-29185
4.8766,-3.4014928480113795,Cs2K1Zr1O1F5,mp-40143
1.0283,-1.4991063743141382,Rb6Re6Cl24,mp-504957
3.1599,-2.2446908255,Sr2Bi2Br2O4,mp-552234
3.9435,-2.4818349002105258,K12Sc4Mo12O48,mp-555776
3.7314,-3.0701639808842853,Er4Mo4O16F4,mp-556766
6.4524,-3.354669110383333,K20Li8Nd4F40,mp-557798
3.2107,-2.493849503303572,Dy16Te24O72,mp-558224
5.2063000000000015,-3.065528495746124,Sr8B28O50,mp-559330
1.6195,-2.1969707218055547,Ba6Zn10In4O22,mp-560544
1.1308000000000002,-1.5332884492968752,Sr2Lu2Cu2Se6,mp-568191
0.6025,-0.4044036197499999,Tc8Br32,mp-570480
2.5338000000000003,-1.6649072809920686,Cs12Cu8Cl20,mp-582024
3.7131,-2.9139264416666677,Ba8Ti4Ge8O32,mp-6289
3.1474,-3.2258761519526185,Cs2Ti2Zn2O2F10,mp-676448
0.2591000000000001,-0.9849116183976284,Cs4Ta4Se12,mp-685607
1.3435,-2.556864113081818,K4Mn2H4O2F10,mp-696630
0.8248999999999999,-1.83875310575,Na4Co2As2C2O14,mp-772664
0.6421000000000001,-1.6555031428924998,K8F24,mp-867934
1.8334,-2.5996132265969227,Na2Cr1H2F8,mp-973225
